"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1979,"Canal Zone",1,0,0,0,0,0,0,44650,0
1979,"District of Columbia",3,1,0.33,0,0,0,0,656000,0
1979,"Delaware",84,53,0.63,0,0,0,0,582000,0
1979,"Florida",1223,692,0.57,0,0,1,0.00,8924302,0
1979,"Georgia",829,437,0.53,0,0,0,0,5145108,0
1979,"Guam",3,0,0,0,0,0,0,86926,0
1979,"Hawaii",18,8,0.44,0,0,0,0,946842,0
1979,"Iowa",300,225,0.75,0,0,0,0,2911703,0
1979,"Idaho",154,103,0.67,0,0,0,0,924370,0
1979,"Illinois",1188,658,0.55,0,0,0,0,11264721,0
1979,"Indiana",451,294,0.65,0,0,0,0,5413499,0
1979,"Kansas",474,227,0.48,0,0,0,0,2370328,0
1979,"Kentucky",725,465,0.64,0,0,0,0,3537205,0
1979,"Louisiana",315,164,0.52,0,0,0,0,4039736,0
1979,"Massachusetts",512,339,0.66,0,0,0,0,5780498,0
1979,"Maryland",225,167,0.74,0,0,1,0.01,4232039,0
1979,"Maine",244,130,0.53,0,0,0,0,1104664,0
1979,"Michigan",867,651,0.75,0,0,0,0,9350656,0
1979,"Minnesota",498,278,0.56,0,0,0,0,4073921,0
1979,"Missouri",731,219,0.30,0,0,0,0,4942969,0
1979,"Mississippi",278,128,0.46,0,0,0,0,2411075,0
1979,"Montana",149,91,0.61,0,0,0,0,798181,0
1979,"Nebraska",340,196,0.58,0,0,0,0,1603256,0
1979,"North Carolina",831,421,0.51,0,0,0,0,5610154,0
1979,"North Dakota",146,77,0.53,0,0,0,0,662498,0
1979,"New Hampshire",264,121,0.46,0,0,0,0,1005431,0
1979,"New Jersey",657,518,0.79,0,0,0,0,7337782,0
1979,"New Mexico",163,100,0.61,0,0,1,0.01,1244079,0
1979,"Nevada",80,33,0.41,0,0,0,0,702000,0
1979,"New York",1179,762,0.65,0,0,4,0.01,18896268,0
1979,"Ohio",935,475,0.51,0,0,0,0,10746923,0
1979,"Oklahoma",506,292,0.58,0,0,0,0,2911745,0
1979,"Oregon",305,215,0.70,0,0,0,0,2533278,0
1979,"Pennsylvania",1892,1169,0.62,0,0,6,0.01,11899574,0
1979,"Puerto Rico",25,1,0.04,0,0,0,0,3045000,0
1979,"Rhode Island",63,44,0.70,0,0,0,0,933358,0
1979,"South Carolina",576,225,0.39,0,0,2,0.01,2981730,0
1979,"South Dakota",194,78,0.40,0,0,0,0,697666,0
1979,"Tennessee",606,279,0.46,0,0,0,0,4391871,0
1979,"Texas",1295,716,0.55,0,0,0,0,13473007,0
1979,"Utah",203,115,0.57,0,0,0,0,1378312,0
1979,"US Virgin Islands",3,0,0,0,0,0,0,0,0
1979,"Virginia",485,378,0.78,0,0,0,0,5211399,0
1979,"Vermont",105,14,0.13,0,0,0,0,495909,0
1979,"Washington",329,147,0.45,0,0,0,0,3944213,0
1979,"Wisconsin",492,268,0.54,0,0,0,0,4744155,0
1979,"West Virginia",535,358,0.67,0,0,0,0,1878427,0
1979,"Wyoming",90,66,0.73,0,0,0,0,450000,0
1979,"Mariana Islands",1,0,0,0,0,0,0,0,0
1979,"Other",0,0,0,0,0,0,0,0,0
1980,"Alaska",55,27,0.49,0,0,0,0,438869,0
1980,"Alabama",490,344,0.70,0,0,14,0.04,3881325,0
1980,"Arkansas",352,208,0.59,0,0,0,0,2284037,0
1980,"American Samoa",1,0,0,0,0,0,0,0,0
1980,"Arizona",173,112,0.65,0,0,1,0.01,2725962,0
1980,"California",939,593,0.63,0,0,0,0,23644324,0
1980,"Colorado",323,224,0.69,0,0,1,0.00,2896033,0
1980,"Connecticut",129,96,0.74,0,0,0,0,3171744,0
1980,"Canal Zone",0,0,0,0,0,0,0,44650,0
1980,"District of Columbia",3,1,0.33,0,0,0,0,635233,0
1980,"Delaware",84,53,0.63,0,0,0,0,594779,0
1980,"Florida",1223,693,0.57,0,0,0,0,9633870,0
1980,"Georgia",829,432,0.52,0,0,0,0,5431039,0
1980,"Guam",3,0,0,0,0,0,0,86926,0
1980,"Hawaii",18,8,0.44,0,0,0,0,1011103,0
1980,"Iowa",300,227,0.76,0,0,0,0,2916690,0
1980,"Idaho",154,104,0.68,0,0,0,0,960309,0
1980,"Illinois",1188,673,0.57,0,0,0,0,11392481,0
1980,"Indiana",451,295,0.65,0,0,0,0,5474534,0
1980,"Kansas",474,232,0.49,0,0,3,0.01,2388998,0
