,State,date,weekly_benefit_amounts
746,Texas,2021-02-01,409.29
747,Utah,2021-02-01,424.31
748,Vermont,2021-02-01,381.61
749,Virgin Islands,2021-02-01,410.11
750,Virginia,2021-02-01,289.61
751,Washington,2021-02-01,454.65
752,West Virginia,2021-02-01,278.39
753,Wisconsin,2021-02-01,312.53
754,Wyoming,2021-02-01,430.45
755,US,2021-02-01,349.74
756,Alabama,2021-03-01,282.98
757,Alaska,2021-03-01,298.0
758,Arizona,2021-03-01,238.53
759,Arkansas,2021-03-01,248.47
760,California,2021-03-01,313.49
761,Colorado,2021-03-01,406.74
762,Connecticut,2021-03-01,361.25
763,Delaware,2021-03-01,262.82
764,District of Columbia,2021-03-01,358.83
765,Florida,2021-03-01,232.57
766,Georgia,2021-03-01,278.95
767,Hawaii,2021-03-01,463.85
768,Idaho,2021-03-01,355.11
769,Illinois,2021-03-01,371.5
770,Indiana,2021-03-01,254.74
771,Iowa,2021-03-01,430.85
772,Kansas,2021-03-01,417.56
773,Kentucky,2021-03-01,352.08
774,Louisiana,2021-03-01,187.93
775,Maine,2021-03-01,340.2
776,Maryland,2021-03-01,308.92
777,Massachusetts,2021-03-01,489.93
778,Michigan,2021-03-01,319.52
779,Minnesota,2021-03-01,454.93
780,Mississippi,2021-03-01,195.4
781,Missouri,2021-03-01,258.57
782,Montana,2021-03-01,468.47
783,Nebraska,2021-03-01,353.18
784,Nevada,2021-03-01,347.97
785,New Hampshire,2021-03-01,277.26
786,New Jersey,2021-03-01,474.61
787,New Mexico,2021-03-01,329.87
788,New York,2021-03-01,365.75
789,North Carolina,2021-03-01,235.0
790,North Dakota,2021-03-01,480.13
791,Ohio,2021-03-01,383.85
792,Oklahoma,2021-03-01,310.89
793,Oregon,2021-03-01,382.28
794,Pennsylvania,2021-03-01,390.05
795,Puerto Rico,2021-03-01,198.52
796,Rhode Island,2021-03-01,389.11
797,South Carolina,2021-03-01,228.79
798,South Dakota,2021-03-01,369.3
799,Tennessee,2021-03-01,219.45
800,Texas,2021-03-01,405.23
801,Utah,2021-03-01,427.52
802,Vermont,2021-03-01,384.25
803,Virgin Islands,2021-03-01,442.52
804,Virginia,2021-03-01,291.74
805,Washington,2021-03-01,453.4
806,West Virginia,2021-03-01,276.15
807,Wisconsin,2021-03-01,314.25
808,Wyoming,2021-03-01,429.31
809,US,2021-03-01,351.09
